finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Atelectasis,J98.11,"Atelectasis happens when a part of your lung doesn't fully fill up with air. Think of your lung like a balloon. If the balloon isn’t filled with enough air, it can’t float. Similarly, when part of your lung doesn’t fill with enough air, it collapses a bit. This doesn’t mean it has a hole or is broken, just that it’s not fully expanded. This can happen after surgery or if you lie down for a long time. It usually doesn't cause big problems, but doctors like to know about it to watch your lung health.",J98.11,J98.11,True,True,83.05,1.0,1.0,1.9500000000000028,1.6677966101694914,1.9900000000000007
Pulmonary Arteriovenous Malformation,Q25.72,"A pulmonary arteriovenous malformation, or PAVM, is when the blood in your lungs takes a shortcut. Usually, blood goes through small paths in your lungs to get clean and pick up oxygen. Imagine you’re in a line, but sometimes, you skip to the front. That’s what happens here. Many people don’t feel any different. But sometimes, you might get tired or have trouble breathing. Your body might not get enough clean blood. Doctors sometimes check to see if the shortcut is growing to help you stay healthy. It’s important for your blood to follow the right path.",Q25.72,Q25.72,True,True,85.89,1.0,1.0,0.8900000000000006,1.705820105820106,1.422
Pneumonia,J18.9,"Pneumonia is an illness that affects the lungs. Think of your lungs like balloons. When you breathe in, these balloons fill up with air to help you get the oxygen your body needs. Pneumonia happens when the air sacs in the lungs become filled with fluid or pus, making it hard for the lungs to do their job. This might make you cough or feel short of breath. You could also have a fever or feel really tired. Doctors can often treat pneumonia with medicine, and rest is also very important to help your body recover.",J18.9,J18.9,True,True,82.95,1.0,1.0,2.049999999999997,1.6655737704918034,2.01
Chronic Obstructive Pulmonary Disease (COPD),J44.9,"Chronic Obstructive Pulmonary Disease, or COPD, is when your lungs don't work as well as they should. With COPD, it's harder to breathe because the tubes that move air in and out of your lungs are partly blocked. Think of trying to drink a milkshake through a straw that is pinched. This makes it hard for air to go in and out. COPD happens slowly and can get worse as time goes on. Signs of COPD include coughing a lot, making a wheezing noise, and being out of breath. It's important to take care of your lungs.",J44.9,J44.9,True,True,91.21,1.0,1.0,6.209999999999994,1.627739251040222,0.3580000000000012
Lung Hyperinflation,J43.9,"Lung hyperinflation is when your lungs get too much air and can't let it out easily. Think about blowing a balloon bigger and bigger until it is stretched. That is similar to what happens in your lungs. With this condition, breathing might feel tougher because the air doesn't move well in your lungs. It can happen with conditions like emphysema, where your lungs don’t work like they should. Doctors check your lungs for these problems to see if anything might help. Understanding this helps keep your lungs healthy and strong.",J43.9,J98.4,False,True,83.76,0.0,1.0,1.2399999999999949,0.8892857142857146,1.0479999999999992
Ground-Glass Opacities,R91.8,Ground-glass opacities are spots doctors see when they take pictures of your lungs. They show up on X-rays or CT scans. These spots look like you are peeking through a foggy window. It means something might be different in that part of the lung. It could be from a tiny infection or some swelling. Doctors use these pictures to learn more and may need more tests to find out why these changes are there. It's like they are gathering clues to help understand your health better.,R91.8,R91.8,True,True,92.83,1.0,1.0,7.829999999999998,1.6226500566251416,0.03400000000000025
Pulmonary Edema,J81.0,"Imagine your lungs as sponges. Normally, these sponges stay dry so you can breathe easily. But with pulmonary edema, they fill up with water. This happens when tiny blood vessels in the lungs start to leak. It's like trying to breathe with a wet sponge in your chest. You might start coughing a lot or feel very tired and out of breath. Your lungs have more water, which makes it hard to get enough air. It's important to know why this happens so you can understand what to do about it.",J81.0,J81.0,True,True,93.74,1.0,1.0,8.739999999999995,1.6205338809034908,-0.14799999999999902
Asbestosis,J61,"Asbestosis happens when tiny pieces of a material called asbestos get stuck inside your lungs. If you breathe in asbestos for many years, these tiny pieces can make your lungs stiff. This is like when a cut on your skin leaves a hard scar. Stiff lungs mean you may feel out of breath or find it hard to breathe deeply. This condition is usually found by doctors when they look at your lungs using special pictures, like X-rays, to check how well they are working.",J61,J61,True,True,88.06,1.0,1.0,3.0600000000000023,1.6492610837438424,0.9879999999999995
Silicosis,J62.8,"Silicosis is a lung disease. It happens when you breathe in a lot of tiny dust called silica. This dust is often found at places like builders' sites and mines. Over time, the dust can hurt your lungs. When the lungs get hurt, it becomes hard to breathe easily and can cause coughing. Silica in the lungs can also make it easy for infections to happen. If you notice any troubles with breathing or coughing often, it's good to let someone know and keep an eye on how you are feeling.",J62.8,J62.8,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Lymphangioleiomyomatosis,J84.81,"Lymphangioleiomyomatosis, or LAM, affects your lungs. Imagine your lungs as big balloons helping you breathe. In LAM, tiny parts of your lungs grow in a strange way. This makes it hard for air to move through, like a blocked straw. Breathing can get hard, and it is more common in women, especially younger ones. Doctors help by keeping an eye on it so your lungs can work their best. They will check your lungs often and do tests to understand what's going on and to handle the symptoms better.",J84.81,J84.81,True,True,83.96,1.0,1.0,1.0400000000000063,1.6980392156862743,1.8080000000000014
