finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Hepatic Calcification,K76.89,"Your liver is like a flat surface, but sometimes small hard spots, like tiny rocks, can show up. These spots are called hepatic calcifications. They are made from calcium, which is a mineral in your body. Sometimes calcium sticks where it shouldn’t, like on your liver. Usually, these spots are harmless and aren’t painful. They’re often found by accident, when a doctor is looking at pictures of your liver for another reason. It’s okay to have them, and knowing they are there helps the doctor check your liver’s health over time.",K76.89,K76.89,True,True,75.2,1.0,1.0,9.799999999999997,1.6185185185185187,3.5599999999999996
Liver Abscess,K75.0,"A liver abscess is like a small pocket of pus in your liver. Pus is a thick, yellowish liquid that's usually a sign of infection. Imagine when you get a cut on your skin and it gets infected, forming a painful bump. This can happen inside your body in the liver too. The liver helps clean your blood and breaks down food. If germs get in, a liver abscess might form. Infections like this are often treated with medicine to help get rid of the germs and make you feel better.",K75.0,K75.0,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Hepatic Regeneration Nodule,K76.89,A hepatic regeneration nodule is a small lump that forms in the liver. This can happen when the liver tries to fix itself after being hurt. Think of it like when you get a scrape and your skin grows a little scab to heal. These nodules are like tiny scabs inside your liver. They show that your liver is working to get better. They are usually small and not harmful by themselves. It’s good for doctors to know about them to ensure they are just part of the normal healing and nothing else.,K76.89,K76.89,True,True,83.36,1.0,1.0,1.6400000000000006,1.6757575757575758,1.9280000000000002
Pancreatic Cyst,K86.2,"A pancreatic cyst is a small bump or pocket of fluid that forms on the pancreas. The pancreas is an organ in your belly that helps digest food and controls your blood sugar. Having a cyst in the pancreas is not very uncommon, and it might not cause any major problems or symptoms. Think of it like a water balloon - it is there, but it does not always cause trouble. Sometimes people might not even feel it at all. Doctors will keep an eye on it to make sure it stays safe and doesn't grow or change.",K86.2,K86.2,True,True,80.41,1.0,1.0,4.590000000000003,1.6357781753130591,2.5180000000000007
Pancreatic Pseudocyst,K86.3,"A pancreatic pseudocyst is a fluid-filled bump that forms in your pancreas. The pancreas helps with digestion, like a food helper in your body. Sometimes, if it gets hurt or sick, the pancreas makes this bump. It’s not dangerous like cancer. It might make your belly hurt or feel weird, but other times, you might not even notice it. Mostly, it goes away by itself, but sometimes, doctors might need to help it go away. It’s like a temporary guest that often leaves without making too much fuss.",K86.3,K86.3,True,True,84.07,1.0,1.0,0.9300000000000068,1.7036269430051811,1.7860000000000014
Pancreatic Mass,K86.9,"A pancreatic mass is like a little bump inside your pancreas. The pancreas is a part of your body that helps you digest food and controls sugar levels. Doctors sometimes find this bump by accident when they are checking your body with tests like MRI. Having this bump doesn't mean something serious is wrong, but it should be checked closely. It might be harmless, or it may need more care. Specialists will need to look at it more to understand what it could be. It's just like finding something unexpected and making sure it's okay.",K86.9,D13.6,False,True,83.05,0.0,1.0,1.9500000000000028,0.8677966101694915,1.1900000000000006
Pancreatitis,K85.9,"Pancreatitis means your pancreas, which helps digest food and control blood sugar, is swollen. Think of it like a helpful friend in your tummy. When inflamed, it can cause belly pain and make you feel sick. Sometimes pancreatitis starts suddenly and may heal quickly. Other times, it may last longer. You can't control when it happens, but doctors know how to treat it, similar to how a sports player rests when hurt. Medical teams are skilled in helping your tummy helper recover and ensuring you feel well again over time.",K85,K85.9,True,False,75.3,1.0,0.0,9.700000000000003,0.8186915887850468,2.7400000000000007
Pancreatic Atrophy,K86.89,"Pancreatic atrophy means your pancreas, a part of your body that helps you digest food, has gotten smaller. Think of it like a sponge that has dried out. When the pancreas shrinks, it might not work as well. It helps your body break down food and control sugar. It's like a tiny factory inside you. If it's smaller, it might not make enough juices and hormones your body needs. This change can happen for many reasons, like if it's been hurt or hasn't been working as much as it should.",K86.89,K86.1,False,True,92.22,0.0,1.0,7.219999999999999,0.824330900243309,-0.6439999999999999
Intraductal Papillary Mucinous Neoplasm,D13.7,"An intraductal papillary mucinous neoplasm, or IPMN, is like a small lump that can grow in the tubes of your pancreas. Your pancreas is a part of your belly that helps digest food. Sometimes, these lumps can make extra mucus, which feels slippery like slime. While these lumps are not bad at first, they might become a problem if they grow. Doctors keep an eye on them to make sure they stay safe. It's similar to how you watch plants grow in a garden, making sure they don't take over the whole space.",D13.7,D13.6,False,True,89.58,0.0,1.0,4.579999999999998,0.8358422939068101,-0.11599999999999966
Pancreatic Calcification,K86.89,"In your MRI scan, doctors found pancreatic calcification. This means that there are tiny calcium deposits in your pancreas, which is an organ in your abdomen that helps with digestion and regulating blood sugar levels. Think of it as a sponge where some holes have been filled with hard grains of sand. These calcium deposits can develop after inflammation or injury to the pancreas. They are usually harmless but can sometimes indicate a past condition like pancreatitis. Doctors may monitor it to ensure your pancreas continues to function well in digestion and sugar control.",K86.8,K86.8,False,False,55.54,0.0,0.0,29.46,0.006565988181221273,5.892
