finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Hydronephrosis,N13.30,"Hydronephrosis is a condition where urine cannot leave the kidney easily. Think of it like when a sponge cannot squeeze out water. This makes the kidney swell, just like a sponge gets bigger with water. Normally, urine travels from the kidneys to the bladder through small pipes. If something blocks these pipes, urine gets stuck in the kidneys. Doctors use tests to find what is stopping the urine and fix the problem to let the urine flow again. This is important because it helps your kidneys stay healthy and work properly.",N13.30,N13.30,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Kidney Stones,N20.0,"Kidney stones are small, hard pieces that form in your kidneys, just like how a pearl forms inside an oyster. They are made from minerals and salts found in your pee. Sometimes, these stones move through your urinary tract and can cause a lot of discomfort, like a sharp pain in your back or side. They might make you feel like you need to pee more often or might hurt when you do. Don’t worry, even though they sound scary, there are ways to help manage them and feel better.",N20.0,N20.0,True,True,87.05,1.0,1.0,2.049999999999997,1.6655737704918034,1.1900000000000006
Renal Atrophy,N26.1,"Renal atrophy means the kidneys are getting smaller. Imagine the kidneys as the body's water filters, like kitchen sponges. If the filters shrink, they don't clean as well. This can happen when people age or with some sicknesses. Even when small, kidneys try their best to clean blood. Though small kidneys aren't perfect, doctors can help with ways to support them, and there are things we can do to help them too. Keeping healthy can give the kidneys the support they need to keep working hard and help keep our bodies in good shape.",N26.1,N26.1,True,True,83.25,1.0,1.0,1.75,1.6727272727272728,1.9500000000000002
Renal Mass,R93.4,"A renal mass is a bump or growth found on your kidney. Kidneys clean your blood like a filter. Sometimes bumps appear on them. These bumps are called masses. Not all kidney masses are bad, but it's smart to check them. Some are harmless, like freckles, while others may need attention. Doctors might do tests to learn more. Size and shape of a mass can tell us a lot. Masses are different, just like animals in a zoo. Some sit quietly, and some need a closer look. Knowing more helps doctors decide what to do next.",R93.4,N28.89,False,True,88.02,0.0,1.0,3.019999999999996,0.8497512437810946,0.19600000000000084
Polycystic Kidney Disease,Q61.3,"Polycystic Kidney Disease, or PKD, is when little bubbles called cysts grow in the kidneys. Think of them like tiny water balloons. These cysts can stop kidneys from cleaning the blood well. The kidneys might get bigger or heavier. Sometimes people get PKD because their parents have it, or it just happens. You can take care of your kidneys by eating healthy food, drinking lots of water, and checking with doctors to make sure they stay healthy. Living a healthy life keeps kidneys strong, just like caring for a plant helps it grow.",Q61.3,Q61.3,True,True,83.36,1.0,1.0,1.6400000000000006,1.6757575757575758,1.9280000000000002
Renal Cortical Thinning,N26.1,"Renal cortical thinning means the outer layer of your kidney, called the cortex, has become thinner. Think of your kidneys as little factories that clean your blood and control your blood pressure. The cortex is like the factory’s roof. If it gets thinner, the factory might not work as well. This doesn’t mean there is a problem now, but it can be a sign of something to watch over time. Doctors will check your health to see if anything else is needed. It’s important to keep an eye on your kidneys and see how they are doing.",N26.1,N28.9,False,True,82.75,0.0,1.0,2.25,0.8615384615384616,1.25
Renal Cyst with Septations,N28.1,"A renal cyst is like a little bubble with water inside that can form in the kidneys. When this bubble has thin walls inside it, it's called a cyst with septations. Imagine a clear balloon divided inside with thin layers. These walls are called septations. Even though these walls are there, many cysts with septations do not cause any problems and are harmless. Doctors might check them from time to time to make sure they don’t change. It's like keeping an eye on a balloon to see if it stays the same.",N28.1,N28.1,True,True,83.56,1.0,1.0,1.4399999999999977,1.6819672131147543,1.8879999999999997
Medullary Sponge Kidney,Q61.5,"Medullary Sponge Kidney is a special type of kidney where small pouches or cysts are found. Imagine them as little bubbles or tiny pockets inside the tubes of your kidneys. Your kidneys are like the cleaners of your body, removing waste and extra water. Usually, these tiny cysts don’t cause any trouble. But sometimes, they might lead to kidney stones or infections, which can be painful. It’s like when you don’t clean out a filter, things might get stuck. Staying healthy and knowing about these bubbles can help everything work smoothly inside your body.",Q61.5,Q61.5,True,True,83.25,1.0,1.0,1.75,1.6727272727272728,1.9500000000000002
Renal Artery Aneurysm,I72.4,"A renal artery aneurysm happens when there is a small, weak spot in an artery, which is a blood vessel that takes blood to your kidneys. Arteries are like pipes that carry this blood. If part of an artery is weak, it might stretch out like a balloon when you blow it up and make it thin. This could be a problem. 

Renal artery aneurysms are often found by chance when checking on something else. Doctors watch them closely, and sometimes, they don't need to be fixed right away if they are not causing trouble.",I72.4,I72.4,True,True,89.28,1.0,1.0,4.280000000000001,1.637878787878788,0.7439999999999998
Hepatic Cyst,K76.89,"A hepatic cyst is like a small bubble filled with liquid inside your liver. These bubbles are usually not dangerous and don't hurt or cause any trouble. Think of it as a tiny balloon that sits in your liver, which is an important organ that helps clean your blood and digest food. Most people with these cysts don't feel anything different and they don't need special treatment. Often, doctors find them by accident when they're checking for other things. It's good to know they're there, but they usually don't affect how your liver works.",K76.89,K76.89,True,True,72.46,1.0,1.0,12.540000000000006,1.6147710487444609,4.108000000000001
Hepatic Hemangioma,D18.09,"A hepatic hemangioma is a small blood vessel collection, or like a ball of tiny blood pathways, found in the liver. It is not harmful like a disease and is usually something you are born with. Think of it like a little harmless sponge that has been with you for a long time. Most people wouldn’t even know they have it unless a doctor finds it by accident when taking pictures of the inside of the body, such as during an MRI. It doesn’t usually cause pain or problems, and often, no treatment is needed.",D18.0,D18.09,True,False,77.57,1.0,0.0,7.430000000000007,0.8237247924080665,2.2860000000000014
Hepatomegaly,R16.0,"Hepatomegaly means your liver is bigger than it should be. The liver is a part of the body that helps with important jobs like burning food for energy and cleaning the blood. Think of the liver as a sponge that cleans things. If it gets too big, it can be like a sponge filled with too much water. Sometimes this happens because of sickness, drinking too much alcohol, or other problems. Doctors may need to figure out why your liver is big and think of ways to help it go back to its normal size.",R16.0,R16.0,True,True,80.82,1.0,1.0,4.180000000000007,1.6386100386100386,2.4360000000000017
Liver Steatosis,K76.0,"Liver steatosis means there is extra fat in your liver. Your liver is like a big sponge that helps clean your blood and helps you digest food. Just like too much sugar in your candy jar, too much fat in the liver can be a problem. Sometimes, you won't notice anything is wrong. But if the fat keeps building up, it can make the liver sick. Eating more fruits and vegetables, playing outside more, and drinking less soda are good ways to keep your liver healthy.",K76.0,K76.0,True,True,82.34,1.0,1.0,2.6599999999999966,1.6546448087431695,2.1319999999999997
Liver Cirrhosis,K74.60,"Liver cirrhosis is when the liver gets scarred. Think of the liver like a soft, smooth sponge. When it has cirrhosis, it becomes more like a rough brick. This happens because the liver keeps getting hurt, often from things like germs, drinking too much alcohol, or being too heavy. These things make scars. The liver has jobs like cleaning the blood and helping the body get food energy. When it’s scarred, it doesn't work as well. But doctors can help by taking care of you and keeping things in check for better health.",K74.60,K74.60,True,True,85.08,1.0,1.0,0.0799999999999983,1.7851851851851857,1.5840000000000005
Liver Mass,R16.2,"When doctors look at images of the liver, they might sometimes find something called a liver mass. This is like a bump or lump that stands out from the regular liver tissue. Think of the liver as a big sponge in our body that filters things. Sometimes, part of this sponge looks a bit different. It doesn’t always mean something bad like cancer. Some liver masses can be harmless, like a little scar or a tiny benign tumor. Doctors may check more to find out exactly what it is. It’s important to stay calm and learn more.",R93.2,R16.0,False,False,84.57,0.0,0.0,0.4300000000000068,0.1398601398601392,0.08600000000000137
Hepatic Adenoma,D13.4,"A hepatic adenoma is a bump that grows in the liver. The liver is like a big sponge that cleans your blood and keeps some extra energy for later. Sometimes, small bumps can appear in the liver. These bumps are not harmful and aren’t cancer. They are just there, like a little friend that doesn’t do much. Most of the time, people don’t even know they have them. Doctors find these bumps by accident when they are checking for something else. Knowing about them is helpful just in case they decide to cause issues later.",D13.4,D13.4,True,True,84.78,1.0,1.0,0.21999999999999886,1.7639344262295085,1.644
Liver Metastasis,C78.7,"When doctors look at images of your body, they sometimes find surprises. In this case, they found something called ""liver metastasis."" This means there are cells in your liver that came from another part of your body. Imagine your liver as a garden where only certain plants grow. Sometimes, seeds from other gardens travel and start to grow there too. These are like the extra cells found in the liver. Doctors need to find the original place where these cells came from. Understanding this helps them learn more about your health condition.",C78.7,C78.7,True,True,85.18,1.0,1.0,0.18000000000000682,1.769491525423728,1.5639999999999987
Liver Hemangioma,D18.09,"A liver hemangioma is a bunch of small blood vessels that group together in your liver. It is usually harmless and is often found when doctors look for other things. Most people with a liver hemangioma do not know it is there because it doesn’t hurt or cause problems. You can think of it as a tiny sponge inside your liver. Liver hemangiomas rarely grow or get in the way. Many people have them all their lives without any trouble. So, don't worry; this tiny liver bump is just sitting there, and it doesn’t cause any harm.",D18.09,D18.09,True,True,82.75,1.0,1.0,2.25,1.6615384615384616,2.0500000000000003
Focal Nodular Hyperplasia,K78.1,"Focal Nodular Hyperplasia (FNH) is like a harmless bump in the liver. It’s not cancer and doesn't spread. People usually feel fine with it and don’t notice any changes. Imagine a small spot on your skin that doesn't hurt or itch. That’s how FNH behaves in your liver. It’s good to know about it, but it usually doesn’t cause problems. FNH doesn’t need special treatment or changes in your life. Doctors might check it sometimes, just like how we keep an eye on things to make sure they stay harmless.",K78.1,D13.4,False,True,85.39,0.0,1.0,0.39000000000000057,0.943884892086331,0.722
Hepatic Steatosis,K76.0,"Hepatic steatosis is when there is too much fat in your liver. Your liver helps your body by cleaning your blood and breaking down food into energy. Imagine this as putting too much oil in a toy car—it might not work well. People may get a fatty liver from eating too much sugar and fatty foods or drinking too much alcohol. Sometimes it just happens on its own. To help your liver, eat healthy foods, exercise, and avoid drinking alcohol to keep it strong and working well.",K76.0,K76.0,True,True,82.14,1.0,1.0,2.8599999999999994,1.6518134715025907,2.172
