finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Cervical Nerve Root Compression,M54.12,"Cervical nerve root compression happens when a nerve in your neck gets squeezed. It’s like when you bend a straw and it stops the drink from flowing. These nerves send messages from your neck to other parts of your body. If they are pinched, it can cause your arms or hands to feel sore or tingly. You might also feel numbness, like when your leg falls asleep and feels strange until it wakes up. These feelings occur because the nerve is getting squished and can't send messages properly, which can cause discomfort or unusual sensations.",M54.12,M54.2,False,True,80.82,0.0,1.0,4.180000000000007,0.8386100386100386,1.6360000000000015
Brachial Plexus Lesion,G54.0,"The brachial plexus is a group of nerves that send messages from the spine to the shoulder, arm, and hand. A lesion means there is damage to these nerves. This can cause weakness, numbness, or a tingling feeling in the arm or hand. Think of it like a broken bridge on a road. It can slow down traffic. Here, messages from the brain have trouble getting through to the arm. But with time and treatment, the nerves can heal, and the messages can flow better again, helping you move your arm and hand normally again.",G54.0,G54.0,True,True,91.51,1.0,1.0,6.510000000000005,1.626631158455393,0.29799999999999893
Glossopharyngeal Neuralgia,G52.1,"Glossopharyngeal neuralgia is when you feel sudden pain in your throat, at the back of your mouth, or near your tonsils. This happens because a special nerve there isn't working right. Imagine a light that suddenly turns on and off by itself. This is like that nerve sending pain signals that can catch you by surprise. Sometimes, it might even hurt near your ear. It can feel uncomfortable, but doctors have ways to help. Think of fixing the light so it stays off when it shouldn't be on, stopping the trouble.",G52.1,G52.1,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Phrenic Nerve Palsy,G54.8,"Phrenic nerve palsy happens when the nerve that helps your diaphragm move does not work well. The diaphragm is a muscle that helps you breathe. If the nerve doesn't work right, it can make breathing hard on one side. You might feel tired or short of breath, especially when lying down. Think of it like a road with a traffic jam, making it hard for cars to pass. But don’t worry; there are exercises and ways to help you breathe better and manage these feelings.",G54.8,G52.1,False,True,90.9,0.0,1.0,5.900000000000006,0.8289855072463769,-0.3800000000000012
Accessory Nerve Palsy,G52.2,"The accessory nerve is a special nerve that helps you move your neck and shoulders. If it gets hurt, it might be hard for you to use these muscles, like a toy car that can't move if its remote control is broken. You might find it difficult to lift your arm or turn your head, but it usually doesn't hurt. This can make everyday activities a little tricky. By understanding this, doctors can suggest activities to make your muscles stronger and help you move better, just like fixing that remote control so the toy works again.",G52.2,G52.8,False,True,77.37,0.0,1.0,7.6299999999999955,0.8231749710312862,2.325999999999999
Vagus Nerve Lesion,G52.8,"The vagus nerve is like a big street in our body, sending important messages from our brain to places like our voice box, heart, and stomach. Think of a lesion as a bump on this street. It can make the messages travel slowly or not very well. This might make your voice sound different or change how your heart beats. Parts of your body might not work like they usually do. But don’t worry, there are ways to help fix these bumps and help your body work better again.",G52.2,G52.2,False,False,90.29,0.0,0.0,5.290000000000006,0.03179650238473765,-1.0580000000000014
Cervical Plexopathy,G54.2,"Cervical Plexopathy is when the nerves in your neck are not working right. These nerves are important because they help your brain talk to your shoulders and arms. If the nerves have a problem, it can make your neck, shoulders, or arms feel weak or tingly, like they fell asleep. An easy way to understand this is to think about a phone call. If the phone line has a problem, the call may not go through well. It's important to know about this so doctors can help make it better.",G54.2,G54.0,False,True,90.09,0.0,1.0,5.090000000000003,0.8328407224958949,-0.21800000000000064
Cervical Sympathetic Chain Schwannoma,D36.1,"A cervical sympathetic chain schwannoma is a bump in the neck. ""Benign"" means it’s not cancer and isn’t dangerous. It comes from nerve cells. Think of nerves as wires that send signals in your body. Sometimes these wires can grow small lumps called schwannomas. They grow very slowly, like a tiny plant getting bigger over a long time. Mostly, these bumps don’t cause problems or hurt. Doctors often find them by accident because they don’t usually cause symptoms or issues. While they sound scary, they’re often harmless and can be watched carefully.",D36.1,D36.1,True,True,78.04,1.0,1.0,6.959999999999994,1.6251256281407036,2.991999999999999
Parathyroid Adenoma,D35.1,"A parathyroid adenoma is a small lump on one of the four tiny parathyroid glands in your neck. These glands help keep the right amount of calcium in your blood. Imagine a playground seesaw that needs to stay level. If there's an adenoma, it can make the gland work too much, leading to too much calcium in your blood. This can harm your bones, kidneys, or how your heart beats. Doctors can watch over this to keep you well. Knowing about this helps balance your body’s calcium, like keeping the seesaw nice and even.",D35.1,D35.1,True,True,91.71,1.0,1.0,6.709999999999994,1.625940337224384,0.25800000000000134
Hyperplasia of Parathyroid,E21.3,"Hyperplasia of the parathyroid means the tiny glands in your neck get bigger than usual. These glands help control the amount of calcium in your body. If they get too big, they make more hormones than you need. It's like adding too much sugar to your cereal—it might taste too sweet. When this happens, the calcium in your body can change too much, and that can affect your bones and other parts. Usually, doctors find out about this condition when checking for other things. It's good to know how these glands work to understand your health better.",E21.3,E21.0,False,True,82.75,0.0,1.0,2.25,0.8615384615384616,1.25
