finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, harmless bump on the adrenal gland. These glands sit on top of each kidney and help your body work right by making hormones. Hormones are like messengers for energy and keeping your heart steady. Usually, these bumps don't cause problems and are found by accident during other tests. It's like seeing an extra puzzle piece that doesn't change the picture. We keep an eye on these bumps to make sure they don't change. Remember, they are not something to worry about but just something to watch.",D35.00,D35.00,True,True,83.56,1.0,1.0,1.4399999999999977,1.6819672131147543,1.8879999999999997
Adrenal Hematoma,E27.8,"An adrenal hematoma is a bit like a small bruise on your adrenal gland. These glands sit on top of your kidneys and make hormones. When they have a little bleed inside, it’s called a hematoma. Imagine when you fall and get a bruise; this is similar, but it happens inside your body. Normally, your body can fix this on its own, and the hematoma fades just like a bruise does. But sometimes a doctor will want to keep an eye on it, to make sure everything is okay later.",E27.8,D35.00,False,True,90.09,0.0,1.0,5.090000000000003,0.8328407224958949,-0.21800000000000064
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia means the adrenal glands, tiny organs on top of your kidneys, are larger than normal. These glands make important hormones. Sometimes, they can make too much of these hormones, like a machine that makes too many toys. This extra hormone can affect how your body works in different ways, like how you grow or how you handle stress. It’s like having more than what is needed. Knowing about this can help you understand more about your health and what is happening in your body.",E27.0,E25.0,False,True,82.34,0.0,1.0,2.6599999999999966,0.8546448087431695,1.3319999999999994
Adrenal Mass,R93.8,"An adrenal mass is a growth on one of the adrenal glands. These glands are small and sit on top of each kidney. They help the body make hormones that are important for stress and blood pressure. Sometimes, doctors find these masses by accident when doing scans for other reasons. Having an adrenal mass doesn’t always mean there’s a problem. It’s important for a doctor to check it out to know more. They might do more tests to learn if it’s something to worry about or not. Each step helps the doctor understand what’s happening better.",R93.8,D44.1,False,True,84.68,0.0,1.0,0.3199999999999932,0.9515151515151523,0.8639999999999987
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, harmless bump in the adrenal gland. The adrenal glands sit on top of your kidneys. They help your body deal with stress and keep things balanced, like sugar and salt levels. Imagine it like a tiny pimple on your skin – not causing any pain or problems. These bumps don't usually cause trouble and might be found by accident when having a scan for something else. Sometimes, they can make extra hormones, but that's rare. Mostly, there's no need to worry about these tiny bumps.",D35.00,D35.00,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Adrenal Hyperfunction,E27.8,"Imagine having little adjusters in your body that help keep everything steady. These are your adrenal glands, sitting on top of your kidneys. They make hormones that handle your body's energy use, how you respond to stress, and even how your blood pressure stays in check. Now, think of a water faucet—when adrenal glands are working too much, it's like the faucet is turned too far, letting too much water out. This can make your body feel off-balance, just like too much water can overflow a cup. This might affect your mood, energy, and how your body works.",E27.8,E27.8,True,True,80.31,1.0,1.0,4.689999999999998,1.6351493848857646,2.538
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is like finding a small, unexpected bump in a place we didn’t think to look. These bumps, or tumors, appear on the adrenal glands, which sit like little caps on top of each kidney. These glands are small but mighty, as they produce hormones that help our body manage things like blood pressure and reactions to stress. Some tumors don’t cause harm, similar to certain moles on our skin, but others might need special attention as they could change how the body works. It’s essential to learn about these surprises in our body as it helps us stay informed and make decisions about what, if anything, should happen next.",D44.7,D35.00,False,True,73.92,0.0,1.0,11.079999999999998,0.8165562913907285,3.016
Adrenal Cyst,E27.8,"An adrenal cyst is like a small balloon filled with water that grows in a gland above your kidneys. These glands, called adrenal glands, help with important jobs like handling stress and keeping your blood pressure steady. Sometimes, these cysts grow without causing any trouble, and you might not even know you have one. They're not the same as a sickness, sort of like how some people have brown spots on their skin. Often, these cysts are found by accident when you're having pictures taken of your belly. Usually, they don't cause problems and won't need any special treatment. It's just something doctors like to keep an eye on, similar to watching a pot of water on the stove to make sure it doesn't overflow. This way, doctors can ensure everything stays fine in the future.",D35.00,E27.8,True,False,79.6,1.0,0.0,5.400000000000006,0.83125,1.8800000000000012
Bladder Diverticulum,N32.3,"Your bladder is like a balloon. Sometimes, a small pocket, called a diverticulum, can bulge out from the side, like a bump on a balloon. Many people don't even know they have it because it usually doesn’t hurt or cause problems. But if this pocket gets big, you might have to go to the bathroom more often or have trouble emptying your bladder all the way. It’s important to notice how you feel and tell your doctor if things change. It’s like seeing when a balloon does not bounce back quickly.",N32.3,N32.3,True,True,81.43,1.0,1.0,3.569999999999993,1.6437636761487966,2.3139999999999987
Bladder Mass,R93.4,"A bladder mass is a bump or lump inside the bladder. The bladder is like a balloon that stores urine until you go to the bathroom. Finding a mass in the bladder might not mean a big problem. Sometimes, it is a harmless growth, like a mole on your skin. Other times, it might need more care. It's important for a doctor to check it closely to know what it is. You may need more tests or visits to the doctor to learn more about it.",R93.4,N32.89,False,True,92.83,0.0,1.0,7.829999999999998,0.8226500566251416,-0.7659999999999998
