finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis means that the space in your neck where the spinal cord sits gets smaller. Think of it as a bus lane that becomes too narrow for the bus to pass easily. With less room, the nerves in your neck can get squeezed. This can cause feelings like pain or weakness in your neck, shoulders, or arms. However, not everyone notices this change. Some might feel nothing strange, while others might have some discomfort. It's important to know what your body might be telling you with these changes.",M48.02,M48.02,True,True,92.22,1.0,1.0,7.219999999999999,1.624330900243309,0.15600000000000014
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"There's a stretchy band that runs along your backbone called the posterior longitudinal ligament. It helps the spine stay in line. Sometimes, parts of this band can harden up, kind of like how bread turns hard if it's left out too long. This is known as ossification. When that happens, it becomes harder for your spine to flex and move, making it feel stiff. This can sometimes hurt or make movement more difficult. It's something that needs to be kept an eye on to track any changes.",M48.8X2,M48.8,False,True,84.27,0.0,1.0,0.730000000000004,0.9156069364161847,0.9460000000000008
Cervical Kyphosis,M40.202,"Cervical kyphosis means your neck spine bends too much forward. Imagine your spine as a line of blocks that keep you straight and balanced. Normally, the neck curves a little like a soft letter 'C'. But, with kyphosis, it arches the other way, making the neck look hunched. This can cause stiffness or a bent look. Think of it like a roller coaster track with a sudden dip. Don’t worry—there are things doctors can do to help, like giving exercises and showing how to stand and move better, so you can feel confident and comfortable.",M40.202,M40.30,False,True,83.05,0.0,1.0,1.9500000000000028,0.8677966101694915,1.1900000000000006
Cervical Vertebral Fracture,S12.9XXA,"A cervical vertebral fracture is a broken bone in your neck. The neck part of the spine holds up your head and lets it move. Imagine a stack of building blocks; if one block breaks, the stack is shaky. Neck fractures can happen from accidents, falls, or sports. Take care and be gentle with your neck so it heals right.",S12.9,S12.9,False,False,93.14,0.0,0.0,8.14,0.021881838074398252,-1.6280000000000001
Cervical Rib,Q76.5,"A cervical rib is an extra rib that some people have above the first rib. Most people have 12 ribs on each side, but a cervical rib means there is one more. It is called a cervical rib because it is near the neck. Having a cervical rib usually doesn't cause any problems, and many people never know they have it. Sometimes, if it presses on nerves or blood vessels, it might cause pain or tingling, but this is not common. It’s just a special part of how some bodies are built.",Q76.5,Q76.5,True,True,81.33,1.0,1.0,3.6700000000000017,1.6428265524625267,2.3340000000000005
Atlantoaxial Instability,M43.8X2,"Atlantoaxial instability means that the top two bones in your neck, called the atlas and the axis, are not staying in place as tightly as they should. Picture it like a stack of blocks where the top block is wiggling when it shouldn't be. This happens due to reasons like an accident or a condition present since birth. Keeping your neck stable is important because it holds your head and shields important nerves. If it becomes necessary, there are ways to help make your neck steadier and to ensure it works properly, keeping safe what it should.",M43.3,M43.3,False,False,68.7,0.0,0.0,16.299999999999997,0.0115606936416185,3.26
Degenerative Disc Disease,M50.30,"Imagine your spine like a stack of blocks with soft pads between each one. These 'pads' help keep the spine flexible and absorb the bumps and shakes you experience daily. When a person has Degenerative Disc Disease, those soft pads, or discs, start to wear down, becoming thinner and less cushioned. This is a common part of aging, a bit like how a pencil eraser gets smaller and tougher the more you use it. With Degenerative Disc Disease, you might feel some pain or stiffness, especially if the discs press on nearby nerves. But remember, it's a typical change and not everyone feels pain from it. Staying active and stretching can help keep things feeling better.",M51.36,M51.36,False,False,71.55,0.0,0.0,13.450000000000003,0.013840830449826988,2.690000000000001
Thyroid Nodule,E04.1,"A thyroid nodule is a little lump in your neck area. The place where it grows, called the thyroid, helps manage how your body gets energy and stays warm. Sometimes these lumps just show up out of nowhere. Think of them like finding a tiny rock in your shoe. They usually don't cause trouble but knowing about them means you and doctors can keep everything in check. It's like noticing a small bump on a road, so you can keep an eye on it and stay safe driving through.",E04.1,E04.1,True,True,90.29,1.0,1.0,5.290000000000006,1.6317965023847378,0.5419999999999987
Thyroid Cyst,E04.1,"A thyroid cyst is like a tiny pouch of fluid on your thyroid gland. This gland is in your neck. It helps your body with energy. Picture the cyst as a small, quiet bubble that doesn't cause harm. These cysts are usually harmless and don't need treatment. They might get bigger or form a lump you can feel, but often people don't even notice them. Doctors might spot them by chance during an x-ray or ultrasound for something else.",E04.1,E04.1,True,True,85.39,1.0,1.0,0.39000000000000057,1.743884892086331,1.522
Thyroid Goiter,E04.9,"A thyroid goiter is when your thyroid gland in your neck gets bigger. The thyroid is a small organ shaped like a butterfly. It helps your body use energy and stay warm. When it gets bigger, it's called a goiter. Sometimes, you might feel a bump in your neck or see swelling. It usually doesn’t hurt or make you sick, but it might make it hard to breathe or swallow. Doctors often watch it to see if it causes any problems.",E04.9,E04.9,True,True,85.08,1.0,1.0,0.0799999999999983,1.7851851851851857,1.5840000000000005
Thyroiditis,E06.9,"Thyroiditis happens when the thyroid gland swells up. The thyroid is a small, butterfly-shaped gland in your neck. It can get swollen, like a balloon, for reasons such as germs or by mistake, when the body attacks it. This swelling can make the gland produce too much or too little hormone. When that happens, you might feel jumpy or very tired. The thyroid is tiny but important because it helps your body use energy. Think of it like a small motor that keeps everything working smoothly.",E06.9,E06.9,True,True,84.37,1.0,1.0,0.6299999999999955,1.722699386503068,1.725999999999999
Papillary Thyroid Carcinoma,C73,"Papillary Thyroid Carcinoma is a cancer that forms in the thyroid gland. This gland is in your neck and helps manage how your body uses energy. In this cancer, some cells in the thyroid grow too much and make a tiny bump or lump called a nodule. This is one of the most common types of thyroid cancer. It usually grows slowly. Many times, treatments work really well for this type of cancer. This means doctors have ways to help you feel better and live well, even if you have it.",C73,C73,True,True,83.66,1.0,1.0,1.3400000000000034,1.6854700854700855,1.8680000000000008
Multinodular Goiter,E04.2,"A multinodular goiter means your thyroid, a small gland in your neck, has some lumps. The thyroid is like a little engine that keeps your body running. Sometimes this engine develops small bumps called nodules. These nodules can make the thyroid appear bigger. Many people with a goiter don’t feel anything different. But some might feel a lump in their throat. It's common and usually not a big deal, but it's good to keep an eye on it. Doctors can help make sure everything is okay with your thyroid.",E04.2,E04.2,True,True,85.59,1.0,1.0,0.5900000000000034,1.7257861635220124,1.4819999999999993
Hyperthyroidism,E05.90,"Hyperthyroidism means your thyroid gland makes too much thyroxine. Your thyroid is in your neck and helps control how your body uses energy. Think of thyroxine like a car's gas. More gas makes the car go faster. With too much thyroxine, your body goes too fast. You might feel nervous, have trouble sleeping, or find your heart beats quickly. But don't worry! Doctors can give you medicines to help. They help slow things down, so you can feel better and stay healthy. It's important to follow your doctor’s advice to manage your condition.",E05.90,E05.90,True,True,87.42,1.0,1.0,2.4200000000000017,1.6584795321637427,1.1159999999999997
